metric,run,feature_norm,rms,points,first_step,last_step,last_reward,best_step,best_reward,last5_mean,early_500k_mean,auc_mean,best_reward_delta_vs_no_rms,last_reward_delta_vs_no_rms,last5_mean_delta_vs_no_rms,early_500k_mean_delta_vs_no_rms,auc_mean_delta_vs_no_rms
train_prefix,feat_on_no_rms,FeatureNorm on,none,54,5600,1489600,-777.3248901367188,1013600,-698.5407104492188,-792.907958984375,-1305.1341552734375,-987.3190935242851,0.0,0.0,0.0,0.0,0.0
train_prefix,feat_on_flat_rms,FeatureNorm on,flat,54,5600,1489600,-1046.5958251953125,1377600,-804.5262451171875,-949.5526733398438,-1130.6497734917534,-988.2166713498673,-105.98553466796875,-269.27093505859375,-156.64471435546875,174.48438178168408,-0.8975778255821751
train_prefix,feat_on_component_rms,FeatureNorm on,component,54,5600,1489600,-851.48828125,1377600,-777.0517578125,-857.8702026367188,-1252.1786736382378,-1024.2436454341096,-78.51104736328125,-74.16339111328125,-64.96224365234377,52.9554816351997,-36.92455190982446
train_prefix,feat_off_no_rms,FeatureNorm off,none,54,5600,1489600,-986.5479736328125,1209600,-806.0049438476562,-1006.9336791992188,-1569.4158121744792,-1265.4028953696197,0.0,0.0,0.0,0.0,0.0
train_prefix,feat_off_flat_rms,FeatureNorm off,flat,54,5600,1489600,-868.15380859375,1377600,-776.6467895507812,-845.4785034179688,-1214.2035115559895,-1000.739444372789,29.358154296875,118.3941650390625,161.45517578124998,355.21230061848973,264.66345099683076
train_prefix,feat_off_component_rms,FeatureNorm off,component,54,5600,1489600,-845.9555053710938,1209600,-790.5570068359375,-870.3667358398437,-1355.7828233506943,-1088.1364982173127,15.44793701171875,140.59246826171875,136.56694335937505,213.6329888237849,177.26639715230704
eval_prefix,feat_on_no_rms,FeatureNorm on,none,15,100800,1495200,-730.026123046875,1310400,-696.8170776367188,-715.3293212890625,-1247.6959838867188,-879.146283988493,0.0,0.0,0.0,0.0,0.0
eval_prefix,feat_on_flat_rms,FeatureNorm on,flat,15,100800,1495200,-936.1148071289062,907200,-735.778564453125,-897.6717895507812,-1067.2118835449219,-910.9129543074642,-38.96148681640625,-206.08868408203125,-182.34246826171875,180.48410034179688,-31.76667031897125
eval_prefix,feat_on_component_rms,FeatureNorm on,component,15,100800,1495200,-936.6697998046875,1008000,-877.5563354492188,-936.4854858398437,-1167.2965545654297,-1007.266504126859,-180.7392578125,-206.6436767578125,-221.15616455078123,80.39942932128906,-128.120220138366
eval_prefix,feat_off_no_rms,FeatureNorm off,none,15,100800,1495200,-874.6469116210938,1008000,-866.9224243164062,-1022.8406860351563,-1533.0446472167969,-1222.1419063705996,0.0,0.0,0.0,0.0,0.0
eval_prefix,feat_off_flat_rms,FeatureNorm off,flat,15,100800,1495200,-815.9241943359375,504000,-799.5015258789062,-872.3277221679688,-1086.5965576171875,-907.6850291792168,67.4208984375,58.72271728515625,150.51296386718752,446.4480895996094,314.4568771913828
eval_prefix,feat_off_component_rms,FeatureNorm off,component,15,100800,1495200,-829.6634521484375,1108800,-822.5014038085938,-845.5488037109375,-1265.7417297363281,-977.9989190159074,44.4210205078125,44.98345947265625,177.29188232421882,267.30291748046875,244.1429873546922
