metric,run,label,step,value
train,feature_norm_only,FeatureNorm only,5600,-1620.408935546875
train,feature_norm_only,FeatureNorm only,33600,-1557.4169921875
train,feature_norm_only,FeatureNorm only,61600,-1607.382568359375
train,feature_norm_only,FeatureNorm only,89600,-1379.99072265625
train,feature_norm_only,FeatureNorm only,117600,-1767.162109375
train,feature_norm_only,FeatureNorm only,145600,-1482.0343017578125
train,feature_norm_only,FeatureNorm only,173600,-1404.4970703125
train,feature_norm_only,FeatureNorm only,201600,-1256.4169921875
train,feature_norm_only,FeatureNorm only,229600,-1335.8309326171875
train,feature_norm_only,FeatureNorm only,257600,-1260.5311279296875
train,feature_norm_only,FeatureNorm only,285600,-1339.0938720703125
train,feature_norm_only,FeatureNorm only,313600,-1163.0677490234375
train,feature_norm_only,FeatureNorm only,341600,-977.5929565429688
train,feature_norm_only,FeatureNorm only,369600,-1138.7833251953125
train,feature_norm_only,FeatureNorm only,397600,-1121.3604736328125
train,feature_norm_only,FeatureNorm only,425600,-1089.6451416015625
train,feature_norm_only,FeatureNorm only,453600,-989.112060546875
train,feature_norm_only,FeatureNorm only,481600,-1002.0874633789062
train,feature_norm_only,FeatureNorm only,509600,-963.7906494140625
train,feature_norm_only,FeatureNorm only,537600,-954.3294067382812
train,feature_norm_only,FeatureNorm only,565600,-863.2132568359375
train,feature_norm_only,FeatureNorm only,593600,-942.4105834960938
train,feature_norm_only,FeatureNorm only,621600,-999.1841430664062
train,feature_norm_only,FeatureNorm only,649600,-1024.476806640625
train,feature_norm_only,FeatureNorm only,677600,-951.6159057617188
train,feature_norm_only,FeatureNorm only,705600,-874.0359497070312
train,feature_norm_only,FeatureNorm only,733600,-918.3735961914062
train,feature_norm_only,FeatureNorm only,761600,-1014.46044921875
train,feature_norm_only,FeatureNorm only,789600,-945.2758178710938
train,feature_norm_only,FeatureNorm only,817600,-950.1893310546875
train,feature_norm_only,FeatureNorm only,845600,-870.3623046875
train,feature_norm_only,FeatureNorm only,873600,-768.8457641601562
train,feature_norm_only,FeatureNorm only,901600,-822.5867309570312
train,feature_norm_only,FeatureNorm only,929600,-805.716796875
train,feature_norm_only,FeatureNorm only,957600,-768.4932250976562
train,feature_norm_only,FeatureNorm only,985600,-740.1261596679688
train,feature_norm_only,FeatureNorm only,1013600,-698.5407104492188
train,feature_norm_only,FeatureNorm only,1041600,-790.480224609375
train,feature_norm_only,FeatureNorm only,1069600,-808.9884643554688
train,feature_norm_only,FeatureNorm only,1097600,-784.75927734375
train,feature_norm_only,FeatureNorm only,1125600,-775.9185180664062
train,feature_norm_only,FeatureNorm only,1153600,-776.51953125
train,feature_norm_only,FeatureNorm only,1181600,-768.0596923828125
train,feature_norm_only,FeatureNorm only,1209600,-725.2479858398438
train,feature_norm_only,FeatureNorm only,1237600,-734.410400390625
train,feature_norm_only,FeatureNorm only,1265600,-742.0169677734375
train,feature_norm_only,FeatureNorm only,1293600,-720.62841796875
train,feature_norm_only,FeatureNorm only,1321600,-813.9744262695312
train,feature_norm_only,FeatureNorm only,1349600,-752.7927856445312
train,feature_norm_only,FeatureNorm only,1377600,-710.4678344726562
train,feature_norm_only,FeatureNorm only,1405600,-776.5469970703125
train,feature_norm_only,FeatureNorm only,1433600,-783.6386108398438
train,feature_norm_only,FeatureNorm only,1461600,-916.5614624023438
train,feature_norm_only,FeatureNorm only,1489600,-777.3248901367188
train,flat_rms_only,Flat RMS only,5600,-1632.4927978515625
train,flat_rms_only,Flat RMS only,33600,-1522.070068359375
train,flat_rms_only,Flat RMS only,61600,-1482.020751953125
train,flat_rms_only,Flat RMS only,89600,-1319.890869140625
train,flat_rms_only,Flat RMS only,117600,-1528.5096435546875
train,flat_rms_only,Flat RMS only,145600,-1345.720703125
train,flat_rms_only,Flat RMS only,173600,-1350.431396484375
train,flat_rms_only,Flat RMS only,201600,-1320.453125
train,flat_rms_only,Flat RMS only,229600,-1090.35986328125
train,flat_rms_only,Flat RMS only,257600,-1269.4593505859375
train,flat_rms_only,Flat RMS only,285600,-1214.40478515625
train,flat_rms_only,Flat RMS only,313600,-1064.09130859375
train,flat_rms_only,Flat RMS only,341600,-987.5523681640625
train,flat_rms_only,Flat RMS only,369600,-1019.4597778320312
train,flat_rms_only,Flat RMS only,397600,-996.1658935546875
train,flat_rms_only,Flat RMS only,425600,-909.4979248046875
train,flat_rms_only,Flat RMS only,453600,-914.0750732421875
train,flat_rms_only,Flat RMS only,481600,-889.0075073242188
train,flat_rms_only,Flat RMS only,509600,-901.9660034179688
train,flat_rms_only,Flat RMS only,537600,-862.882080078125
